vertices,edges,greedy,iterations,matroid,edmonds,avg_edmonds_time,avg_matroid_time
50,516,,8,4646,4646,0.03,0.025
100,2029,5560,4,5528,5528,0.079,0.046
150,4604,5294,11,5219,5219,1.252,0.366
200,8039,,10,4962,4962,0.384,0.619
250,12633,,7,4786,4786,2.807,0.705
300,18212,4798,4,4770,4770,0.521,0.664
350,24878,,18,4947,4947,5.286,4.247
400,32032,5126,8,5027,5027,11.537,2.94
450,40742,4775,5,4728,4728,0.665,2.033
500,50775,,33,4920,4920,39.147,20.219
